"","surface_protein_gene"
"1377","BFSP2"
"1378","SERINC3"
"1379","RIPK1"
"1380","CAMK2D"
"1381","PKD2"
"1382","NAE1"
"1383","DGKZ"
"1384","GPR50"
"1385","STIM1"
"1386","MTMR1"
"1387","SLC12A1"
"1388","CDH18"
"1389","PTCH1"
"1390","HTR4"
"1391","TPBG"
"1392","IL10RA"
"1393","AAMP"
"1394","CACNA1S"
"1395","RAPSN"
"1396","ACVR2B"
"1397","ATP1A4"
"1398","ALCAM"
"1399","SHROOM2"
"1400","BMPR2"
"1401","SNTB1"
"1402","CACNA1C"
"1403","CEACAM7"
"1404","KCNC3"
"1405","RAB33A"
"1406","LRP8"
"1407","DAG1"
"1408","DSG2"
"1409","EFR3A"
"1410","SCRIB"
"1411","DOC2B"
"1412","LY6D"
"1413","MAP7"
"1414","ADGRE1"
"1415","CTTN"
"1416","FLOT2"
"1417","PTK2B"
"1418","GPR18"
"1419","FZD2"
"1420","GNA13"
"1421","LRRC32"
"1422","GRM2"
"1423","GRB7"
"1424","KCNJ12"
"1425","NEDD9"
"1426","FGFBP1"
"1427","FAT1"
"1428","SCN5A"
"1429","SLC29A2"
"1430","DSC3"
"1431","IHH"
"1432","INPP5A"
"1433","RASA3"
"1434","BLTP2"
"1435","KANK1"
"1436","MELK"
"1437","DIP2A"
"1438","RFTN1"
"1439","SSPN"
"1440","KCNB1"
"1441","KCNAB1"
"1442","ICAM4"
"1443","FXYD3"
"1444","GRM7"
"1445","GRM3"
"1446","GRM4"
"1447","SLC17A1"
"1448","SLC9A5"
"1449","KIR3DS1"
"1450","KIR2DS5"
"1451","KIR2DS1"
"1452","GPNMB"
"1453","GRIN2C"
"1454","RAB39A"
"1455","SLC10A1"
"1456","NUMA1"
"1457","OPCML"
"1458","SLMAP"
"1459","CLCA4"
"1460","VEPH1"
"1461","SEPTIN2"
"1462","JOSD1"
"1463","SLC39A14"
"1464","KARS1"
"1465","MLC1"
"1466","P2RY6"
"1467","CDK5R1"
"1468","PDIA6"
"1469","AGER"
"1470","PDCD1"
"1471","PGM5"
"1472","PRKD1"
"1473","NECTIN1"
"1474","PTPRR"
"1475","PTPRK"
"1476","RAB35"
"1477","ERBB4"
"1478","RALBP1"
"1479","EPHA7"
"1480","TLR1"
"1481","CYTH1"
"1482","SHB"
"1483","SHH"
"1484","NHERF2"
"1485","TRIP10"
"1486","RHOH"
"1487","DLG2"
"1488","LTB4R"
"1489","GPR68"
"1490","SLC1A5"
"1491","NPY5R"
"1492","CD226"
"1493","ITSN1"
"1494","CHRNA2"
"1495","CHRNA6"
"1496","SLC14A2"
"1497","SCN9A"
"1498","ENTREP1"
"1499","GRIK4"
"1500","ENOX2"
"1501","SLC15A2"
"1502","GABRA6"
"1503","GRIK5"
"1504","PKN1"
"1505","ASIC2"
"1506","RPE65"
"1507","LY6E"
"1508","C3AR1"
"1509","SGCB"
"1510","SGCA"
"1511","CALCRL"
"1512","NKG7"
"1513","NTRK2"
"1514","STX1A"
"1515","OCLN"
"1516","PRSS8"
"1517","MOG"
"1518","ATP2B3"
"1519","DGKD"
"1520","CA9"
"1521","MEP1B"
"1522","DDR2"
"1523","PTPRN"
"1524","AOC3"
"1525","DOK7"
"1526","ECSCR"
"1527","SLC5A12"
"1528","MICB"
"1529","MICA"
"1530","CLEC12B"
"1531","LRRC26"
"1532","BLTP1"
"1533","AAK1"
"1534","TMEM266"
"1535","ABCB5"
"1536","SLC35G1"
"1537","QRICH1"
"1538","SLC4A8"
"1539","HLA-DRB5"
"1540","HFE"
"1541","ANO4"
"1542","PTCHD3"
"1543","GRAMD1B"
"1544","TMEM30B"
"1545","PLA2G4E"
"1546","ARL13B"
"1547","BBS9"
"1548","CCDC88A"
"1549","ZACN"
"1550","PLEKHN1"
"1551","TIGIT"
"1552","SLC36A2"
"1553","USH1G"
"1554","CD300E"
"1555","SLC9C1"
"1556","CDON"
"1557","ANO6"
"1558","SLC22A6"
"1559","TMEM119"
"1560","SLC9B1"
"1561","SEZ6"
"1562","SLC44A4"
"1563","PLEKHO1"
"1564","CYBRD1"
"1565","C2CD6"
"1566","TNFSF6"
"1567","NR2A"
"1568","SDK2"
"1569","CAVIN4"
"1570","UMODL1"
"1571","IGSF11"
"1572","PDZD11"
"1573","XKR4"
"1574","TNFAIP8L3"
"1575","TMEM67"
"1576","ALG10B"
"1577","CRB2"
"1578","RALGPS1"
"1579","AMER1"
"1580","TJAP1"
"1581","KCNT1"
"1582","EPHA10"
"1583","DGKK"
"1584","ENTPD8"
"1585","FFAR4"
"1586","RTP2"
"1587","CLEC12A"
"1588","LY6G6F"
"1589","MUC21"
"1590","FRMPD1"
"1591","FREM2"
"1592","FNBP1L"
"1593","DCST1"
"1594","THEM4"
"1595","TREML2"
"1596","MPP7"
"1597","PDZK1"
"1598","ABCC10"
"1599","GJC2"
"1600","ZFYVE27"
"1601","STXBP5"
"1602","ADGRF1"
"1603","GPRC6A"
"1604","SYT6"
"1605","WLS"
"1606","CPTP"
"1607","COL13A1"
"1608","MAGI3"
"1609","TSPO2"
"1610","PIK3R6"
"1611","ABHD17B"
"1612","OBSCN"
"1613","LRRC38"
"1614","FAM171A1"
"1615","KIAA0319"
"1616","GPR107"
"1617","IL23R"
"1618","MLIP"
"1619","DAB2IP"
"1620","PEAR1"
"1621","RAET1L"
"1622","DENND4C"
"1623","CARMIL1"
"1624","EDG2"
"1625","ZDHHC20"
"1626","ANO1"
"1627","TNS2"
"1628","WASHC2A"
"1629","MUC17"
"1630","STEAP4"
"1631","NCR3LG1"
"1632","MBLAC2"
"1633","FMN1"
"1634","PLA2G4F"
"1635","RNF43"
"1636","FRMPD2"
"1637","ERVK-6"
"1638","SLC6A19"
"1639","SLC9A4"
"1640","PVRIG"
"1641","FCRL6"
"1642","CLEC6A"
"1643","CARMIL2"
"1644","LAIR1"
"1645","RAET1G"
"1646","ASTL"
"1647","LAMTOR1"
"1648","CAPRIN2"
"1649","IQCE"
"1650","ANO7"
"1651","TENM4"
"1652","MFSD5"
"1653","LRRC8E"
"1654","RGMB"
"1655","CAVIN1"
"1656","MAST2"
"1657","CNNM4"
"1658","SLC39A4"
"1659","LRRC8B"
"1660","CNKSR3"
"1661","ABHD17C"
"1662","SLC27A1"
"1663","TMEM88"
"1664","PPIP5K1"
"1665","IYD"
"1666","CNIH2"
"1667","TMEM65"
"1668","KCNIP4"
"1669","KCNV1"
"1670","NCEH1"
"1671","TRAT1"
"1672","RHBDF2"
"1673","CNST"
"1674","GPR179"
"1675","SLC2A7"
"1676","ADGRD1"
"1677","SHC4"
"1678","NHS"
"1679","PAQR6"
"1680","OPN5"
"1681","SLC4A10"
"1682","CSPG4"
"1683","KCNT2"
"1684","CLEC2A"
"1685","ATRAID"
"1686","PRSS55"
"1687","SCIMP"
"1688","PARM1"
"1689","KIRREL2"
"1690","LYPD5"
"1691","ENPP6"
"1692","ENPP7"
"1693","LMBR1L"
"1694","ALKAL2"
"1695","DRAM2"
"1696","CLEC4G"
"1697","SEZ6L2"
"1698","ELAPOR1"
"1699","CD300LG"
"1700","ISLR2"
"1701","ALKAL1"
"1702","GFRAL"
"1703","BAIAP2L2"
"1704","TMIGD1"
"1705","CD300LD"
"1706","UNC5D"
"1707","CEACAM20"
"1708","NPSR1"
"1709","NSMF"
"1710","SLC30A10"
"1711","DSTYK"
"1712","LIPI"
"1713","CD109"
"1714","SLC39A5"
"1715","GLDN"
"1716","SCARA5"
"1717","STAC2"
"1718","TRIM72"
"1719","UNC5A"
"1720","FGD5"
"1721","TMEM182"
"1722","SLCO4C1"
"1723","OTOG"
"1724","QSOX2"
"1725","LRRC55"
"1726","SLC16A12"
"1727","ARHGEF18"
"1728","BARGIN"
"1729","ANKRD13D"
"1730","CDHR3"
"1731","CFAP65"
"1732","PIK3AP1"
"1733","HJV"
"1734","RHEX"
"1735","RAPH1"
"1736","HTR3D"
"1737","ANO5"
"1738","MARK2"
"1739","RHOU"
"1740","LRRC8D"
"1741","DOK3"
"1742","LPCAT2"
"1743","MAEA"
"1744","RAB11FIP2"
"1745","SLC26A9"
"1746","ARC"
"1747","RASGRP2"
"1748","NIPA1"
"1749","SLC29A4"
"1750","OTOA"
"1751","TAS1R3"
"1752","TAS1R1"
"1753","CATSPER4"
"1754","SLC16A13"
"1755","SLC16A9"
"1756","PLPPR4"
"1757","SLC36A1"
"1758","TRPM8"
"1759","NEGR1"
"1760","CSMD3"
"1761","TMPRSS9"
"1762","KCNK18"
"1763","PKD1L3"
"1764","LIMS2"
"1765","TRPM1"
"1766","SDK1"
"1767","APBB1IP"
"1768","GPR141"
"1769","SNX20"
"1770","SPRED2"
"1771","SPRED1"
"1772","BTLA"
"1773","NECAB2"
"1774","FGD2"
"1775","PRRT2"
"1776","MILR1"
"1777","PXK"
"1778","VTCN1"
"1779","CPLX4"
"1780","CATIP"
"1781","AMIGO2"
"1782","DSG4"
"1783","ADGRE4P"
"1784","ADGRG6"
"1785","ILDR1"
"1786","PIP4P1"
"1787","TMPRSS11B"
"1788","ALPK2"
"1789","TMEM150A"
"1790","TTC7B"
"1791","YRDC"
"1792","SAPCD2"
"1793","SLC9B2"
"1794","LRRTM1"
"1795","TSPAN33"
"1796","SLCO6A1"
"1797","EVC2"
"1798","MAGI2"
"1799","RTN4RL1"
"1800","RTN4RL2"
"1801","CDH24"
"1802","NOXA1"
"1803","RIMS1"
"1804","NHERF4"
"1805","SLC51A"
"1806","SLC51B"
"1807","ADIPOR2"
"1808","TRABD2A"
"1809","CD163"
"1810","SERINC5"
"1811","LRRTM3"
"1812","LAPTM4B"
"1813","SLC47A2"
"1814","SLC22A16"
"1815","ARHGEF25"
"1816","NLRP10"
"1817","SLC26A11"
"1818","UNC93A"
"1819","AMIGO1"
"1820","CCDC25"
"1821","SKAP1"
"1822","STING1"
"1823","LSR"
"1824","CATSPERD"
"1825","DGKH"
"1826","CATSPER3"
"1827","TICAM2"
"1828","FRAS1"
"1829","ADGRG3"
"1830","LYPD6"
"1831","NRROS"
"1832","PTOV1"
"1833","TMEM25"
"1834","LDLRAD3"
"1835","ANKRD13B"
"1836","PDPN"
"1837","GPSM1"
"1838","C2CD5"
"1839","SLC13A5"
"1840","MIB1"
"1841","JAML"
"1842","TREML1"
"1843","KLB"
"1844","TMPRSS6"
"1845","CALHM1"
"1846","ERC1"
"1847","ZDHHC17"
"1848","PLXDC1"
"1849","RELL1"
"1850","GRAMD2A"
"1851","GPIHBP1"
"1852","SLC9A9"
"1853","PLEKHH2"
"1854","FMNL3"
"1855","NOSTRIN"
"1856","SLC41A1"
"1857","CPO"
"1858","SLC22A9"
"1859","ZDHHC21"
"1860","KSR1"
"1861","SPNS2"
"1862","VSTM4"
"1863","SLITRK4"
"1864","ITPRIP"
"1865","DCUN1D3"
"1866","SCN4B"
"1867","LRRC8A"
"1868","SLC30A8"
"1869","LAX1"
"1870","CNTN4"
"1871","SCUBE1"
"1872","BBS7"
"1873","WWC1"
"1874","TRARG1"
"1875","CDH26"
"1876","SIRT2"
"1877","MICALL2"
"1878","SMAP1"
"1879","SYTL1"
"1880","GPR65"
"1881","TMEFF1"
"1882","OSCAR"
"1883","IZUMO1"
"1884","ANKRD13A"
"1885","KIAA0319L"
"1886","KMT2E"
"1887","NALCN"
"1888","ADGRF5"
"1889","UNC5B"
"1890","CPAMD8"
"1891","MCOLN2"
"1892","TBC1D3"
"1893","ADGRG2"
"1894","KIRREL3"
"1895","ABCA7"
"1896","APCDD1"
"1897","NLGN4X"
"1898","CADM3"
"1899","SLC34A3"
"1900","GJD3"
"1901","LILRA2"
"1902","GPC2"
"1903","GABRG1"
"1904","DOCK4"
"1905","BEST3"
"1906","DYNAP"
"1907","ARHGEF28"
"1908","PROM2"
"1909","UNC80"
"1910","LYPD1"
"1911","NLGN1"
"1912","MUC20"
"1913","CBARP"
"1914","SLC43A2"
"1915","MUC15"
"1916","BBS5"
"1917","CADM2"
"1918","PALS1"
"1919","LILRB2"
"1920","STX19"
"1921","SLC22A24"
"1922","PIP4P2"
"1923","MARVELD2"
"1924","MREG"
"1925","SH2D3C"
"1926","ARRDC1"
"1927","DPP10"
"1928","SLC5A8"
"1929","CLDN19"
"1930","GCSAM"
"1931","CD177"
"1932","GPR161"
"1933","KIR3DL3"
"1934","LRRC52"
"1935","AMER2"
"1936","CGAS"
"1937","NRAC"
"1938","TMEM102"
"1939","MFSD2A"
"1940","IL17RC"
"1941","FNDC5"
"1942","MLKL"
"1943","ATP11C"
"1944","UNC13C"
"1945","SLC43A3"
"1946","SIDT2"
"1947","AQP11"
"1948","SLC4A11"
"1949","ATAD1"
"1950","SYT8"
"1951","RELL2"
"1952","CAMKV"
"1953","DAGLB"
"1954","SLC16A11"
"1955","DYNC2H1"
"1956","ARRDC4"
"1957","CARMIL3"
"1958","CCNY"
"1959","PSD4"
"1960","SLC17A8"
"1961","CNNM3"
"1962","BVES"
"1963","PLPP5"
"1964","CATSPER1"
"1965","TRPV1"
"1966","NFAM1"
"1967","APPL2"
"1968","LPCAT1"
"1969","DOCK8"
"1970","NOXO1"
"1971","SLC24A4"
"1972","GPRC5A"
"1973","PROKR2"
"1974","BBS1"
"1975","ADCY4"
"1976","IL17RD"
"1977","MDGA1"
"1978","IL17RE"
"1979","STEAP2"
"1980","DNER"
"1981","BEST2"
"1982","SEMA6D"
"1983","NLGN4Y"
"1984","NLGN2"
"1985","TSPAN14"
"1986","OR7D4"
"1987","OR10J5"
"1988","SVIP"
"1989","ZNRF2"
"1990","LILRB4"
"1991","LILRB1"
"1992","SGMS2"
"1993","GAS2L2"
"1994","IL31RA"
"1995","PATJ"
"1996","VANGL1"
"1997","PCDH19"
"1998","SCAMP5"
"1999","SLC30A5"
"2000","KCNG3"
"2001","LHFPL5"
"2002","TTC8"
"2003","CYP2W1"
"2004","GSDMB"
"2005","PRR7"
"2006","CNIH3"
"2007","SLC35G2"
"2008","PLPPR1"
"2009","ENOX1"
"2010","SLC22A8"
"2011","PI4K2B"
"2012","MARCHF1"
"2013","CERK"
"2014","SPPL2B"
"2015","HM13"
"2016","GRIN3A"
"2017","PREX1"
"2018","MRAP"
"2019","CD99L2"
"2020","SLC2A12"
"2021","TRPM4"
"2022","CD200R1"
"2023","DSCAML1"
"2024","SLC2A14"
"2025","MCOLN3"
"2026","NETO1"
"2027","RASGRP4"
"2028","TMC2"
"2029","TMC1"
"2030","DLG5"
"2031","KCNG4"
"2032","KCNV2"
"2033","HAVCR2"
"2034","CD300LF"
"2035","HCAR2"
"2036","OXER1"
"2037","GPR152"
"2038","GPBAR1"
"2039","GPR151"
"2040","LRRC8C"
"2041","PKD1L1"
"2042","TAS1R2"
"2043","DENND1A"
"2044","RAPGEF6"
"2045","PARD3"
"2046","PAQR8"
"2047","ATP8B4"
"2048","SLC16A10"
"2049","SHROOM3"
"2050","CLEC4C"
"2051","SCARB1"
"2052","STK32A"
"2053","RAB2B"
"2054","SLC22A17"
"2055","CEMIP"
"2056","SLC38A5"
"2057","BLNK"
"2058","OSCP1"
"2059","SECTM1"
"2060","CANT1"
"2061","ITLN1"
"2062","SLC44A1"
"2063","SPIRE2"
"2064","ARAP3"
"2065","IPCEF1"
"2066","STAB2"
"2067","NEU4"
"2068","SLC13A3"
"2069","FCAMR"
"2070","SLC5A11"
"2071","LIPH"
"2072","ABCA5"
"2073","HTR3C"
"2074","RXFP2"
"2075","MADD"
"2076","ADGRV1"
"2077","SYNE2"
"2078","JPH3"
"2079","MUC16"
"2080","CLEC4D"
"2081","CACNG8"
"2082","DNAJC9"
"2083","SLC7A3"
"2084","MYLIP"
"2085","PIK3R5"
"2086","BSND"
"2087","RFFL"
"2088","AQP3"
"2089","SMPDL3B"
"2090","PIEZO1"
"2091","SLC7A6"
"2092","ELMO1"
"2093","SLC9A6"
"2094","NDRG1"
"2095","ARHGAP45"
"2096","SGCD"
"2097","LPAR1"
"2098","FCGR1BP"
"2099","SORL1"
"2100","RSC1A1"
"2101","NECTIN2"
"2102","PTPRU"
"2103","RND1"
"2104","RASL10A"
"2105","HTRA1"
"2106","SYMPK"
"2107","HAS2"
"2108","NRCAM"
"2109","INPP5D"
"2110","EDA"
"2111","GHSR"
"2112","SEMA4D"
"2113","NEO1"
"2114","ABCC2"
"2115","SLC5A5"
"2116","FGF13"
"2117","RAB8B"
"2118","KCNB2"
"2119","TNFRSF14"
"2120","SLCO2A1"
"2121","RIT1"
"2122","ARHGEF2"
"2123","NINJ1"
"2124","TNFRSF25"
"2125","LPP"
"2126","ART4"
"2127","PTP4A1"
"2128","PHKB"
"2129","MR1"
"2130","NKD2"
"2131","KISS1R"
"2132","NKD1"
"2133","SLC38A4"
"2134","RNF34"
"2135","MAL2"
"2136","IGSF8"
"2137","RELT"
"2138","TMEM106A"
"2139","SYAP1"
"2140","ADIPOR1"
"2141","FERMT2"
"2142","PNPLA2"
"2143","TTC17"
"2144","ESAM"
"2145","ARRDC3"
"2146","RGMA"
"2147","SLCO4A1"
"2148","TMIGD2"
"2149","SLC22A18"
"2150","TESC"
"2151","SYTL4"
"2152","GRAMD1A"
"2153","TLCD1"
"2154","AP2M1"
"2155","NTNG2"
"2156","RASD2"
"2157","ORAI1"
"2158","HAVCR1"
"2159","COQ8B"
"2160","HVCN1"
"2161","RAB39B"
"2162","SLAMF6"
"2163","CLIP3"
"2164","RAB3C"
"2165","ZMYND19"
"2166","KLRG1"
"2167","SLC10A4"
"2168","DTNBP1"
"2169","DNAJA3"
"2170","C11orf24"
"2171","IL17RA"
"2172","LINGO1"
"2173","PIK3IP1"
"2174","SLC47A1"
"2175","CPNE2"
"2176","PERP"
"2177","MRAP2"
"2178","P2RY11"
"2179","VMP1"
"2180","PDXP"
"2181","ACSBG1"
"2182","ABHD17A"
"2183","TIMD4"
"2184","ACY3"
"2185","PPP1R16A"
"2186","AJUBA"
"2187","ADTRP"
"2188","ITCH"
"2189","TXNDC15"
"2190","ABCC11"
"2191","KIRREL1"
"2192","LRIG1"
"2193","JPH4"
"2194","CDHR1"
"2195","DCHS1"
"2196","SLC41A2"
"2197","MEGF10"
"2198","KCNS1"
"2199","OR10C1"
"2200","SUSD3"
"2201","CAPNS2"
"2202","FCRL2"
"2203","FCRL1"
"2204","MRGPRX2"
"2205","MRGPRX1"
"2206","SIGLEC10"
"2207","STAC3"
"2208","KCTD7"
"2209","KREMEN1"
"2210","SPATA13"
"2211","FRMD6"
"2212","PTCHD1"
"2213","SLC46A1"
"2214","ANKRD27"
"2215","CAMK1G"
"2216","CLIC6"
"2217","NECTIN4"
"2218","FCRL3"
"2219","ARAP1"
"2220","CATSPER2"
"2221","QRFPR"
"2222","GPR101"
"2223","ADGRA2"
"2224","INPP4A"
"2225","FCRL4"
"2226","ERMAP"
"2227","ADCY10"
"2228","SORCS2"
"2229","KCNC2"
"2230","AQP10"
"2231","PLIN4"
"2232","GSDMA"
"2233","SLC38A2"
"2234","SLC2A13"
"2235","MTMR9"
"2236","PCDH15"
"2237","HHIP"
"2238","MAGI1"
"2239","PANX1"
"2240","FCRL5"
"2241","SNX18"
"2242","F2RL3"
"2243","TAAR6"
"2244","BBS4"
"2245","ERBIN"
"2246","FNBP1"
"2247","RAB40C"
"2248","SLC22A12"
"2249","RANBP9"
"2250","PPP1R9B"
"2251","PPP1R16B"
"2252","SLC9A7"
"2253","CSF3R"
"2254","HBEGF"
"2255","MUC4"
"2256","SCN2A"
"2257","CYTH2"
"2258","NOTCH4"
"2259","CD180"
"2260","STAC"
"2261","PARK7"
"2262","S1PR3"
"2263","NEU1"
"2264","SORT1"
"2265","GPER1"
"2266","PKP4"
"2267","P2RX7"
"2268","RIT2"
"2269","PHB2"
"2270","SLC38A3"
"2271","CHP1"
"2272","LPAR4"
"2273","FEZ1"
"2274","MCHR1"
"2275","KIR2DL4"
"2276","SIGMAR1"
"2277","LITAF"
"2278","PIP5K1A"
"2279","CMKLR1"
"2280","SLC29A1"
"2281","CIB1"
"2282","CPNE1"
"2283","SLC6A7"
"2284","GABRG3"
"2285","RNF5"
"2286","PRRT1"
"2287","P2RY13"
"2288","MAPKAP1"
"2289","KCNS3"
"2290","PDCD1LG2"
"2291","SYT3"
"2292","AIF1L"
"2293","FERMT1"
"2294","SYT15"
"2295","CLSTN3"
"2296","JPH2"
"2297","SLC30A2"
"2298","MXRA8"
"2299","SDF4"
"2300","AIFM2"
"2301","MIEN1"
"2302","SLC50A1"
"2303","TTYH2"
"2304","C2orf88"
"2305","ESYT1"
"2306","CRACR2A"
"2307","TCHP"
"2308","LRFN3"
"2309","PI4K2A"
"2310","TMEM43"
"2311","TBCD"
"2312","CRB3"
"2313","PDCD10"
"2314","TRAF4"
"2315","VAMP8"
"2316","ADI1"
"2317","TMEM147"
"2318","TMUB1"
"2319","FAIM2"
"2320","BOC"
"2321","TAPBPL"
"2322","SORBS1"
"2323","JAM3"
"2324","STRA6"
"2325","TRPM6"
"2326","SGPP1"
"2327","PLVAP"
"2328","SUCNR1"
"2329","LGR4"
"2330","HCAR1"
"2331","BBS2"
"2332","AMN"
"2333","TMEM120A"
"2334","PRX"
"2335","CLEC7A"
"2336","SLC12A9"
"2337","TMEM59"
"2338","SLC26A6"
"2339","CALN1"
"2340","SLC4A5"
"2341","PACSIN1"
"2342","TEX101"
"2343","ADGRE3"
"2344","CADM1"
"2345","MFRP"
"2346","CDHR2"
"2347","ACE2"
"2348","PARD6G"
"2349","PARD6B"
"2350","GSDMC"
"2351","HYCC1"
"2352","ANO3"
"2353","SLC2A11"
"2354","FRMD8"
"2355","PCDH11X"
"2356","PCDH11Y"
"2357","PRRG4"
"2358","OSBPL7"
"2359","OSBPL6"
"2360","GPR62"
"2361","GPR61"
"2362","PRKD2"
"2363","PLA2G2F"
"2364","ULBP3"
"2365","ULBP2"
"2366","ULBP1"
"2367","RTN4R"
"2368","SLC13A1"
"2369","CD244"
"2370","SIGLEC1"
"2371","SPRY4"
"2372","CNTNAP4"
"2373","ZDHHC5"
"2374","SEMA4C"
"2375","TTYH3"
"2376","SLC39A8"
"2377","YIPF3"
"2378","GPR88"
"2379","NMUR2"
"2380","NPFFR1"
"2381","MCOLN1"
"2382","SLC5A7"
"2383","WWTR1"
"2384","LAT2"
"2385","CHRNA10"
"2386","GFRA4"
"2387","SLC22A4"
"2388","SLC25A31"
"2389","ARL6"
"2390","RACGAP1"
"2391","WWP1"
"2392","MAGT1"
"2393","SLITRK2"
"2394","ABCG4"
"2395","SDCBP2"
"2396","TRPV6"
"2397","RBSN"
"2398","OSBPL2"
"2399","DUSP15"
"2400","OPN3"
"2401","ECRG4"
"2402","ABCG8"
"2403","ABCG5"
"2404","EHD4"
"2405","S1PR5"
"2406","P2RY12"
"2407","CDH23"
"2408","OR51E2"
"2409","DCSTAMP"
"2410","SH3BGRL3"
"2411","CXCL16"
"2412","SLC26A1"
"2413","SEMA6A"
"2414","SLC38A1"
"2415","TAOK3"
"2416","CLEC4M"
"2417","SLC12A5"
"2418","RHBG"
"2419","TTYH1"
"2420","HRH4"
"2421","MUC13"
"2422","SEMA4A"
"2423","TMPRSS5"
"2424","SEMA6C"
"2425","SEMA6B"
"2426","DNAJC5"
"2427","LIME1"
"2428","FZD8"
"2429","GOLPH3"
"2430","CLSTN2"
"2431","RHOJ"
"2432","DEF6"
"2433","OSBPL3"
"2434","EHD1"
"2435","CDCP1"
"2436","SLITRK6"
"2437","CLMP"
"2438","XKR8"
"2439","TMEM231"
"2440","SLA2"
"2441","ANTXR1"
"2442","RNF167"
"2443","DOCK5"
"2444","VSIR"
"2445","SYNDIG1"
"2446","PACC1"
"2447","CNNM2"
"2448","AKTIP"
"2449","ERVMER34-1"
"2450","FKRP"
"2451","SLC52A2"
"2452","LIN7B"
"2453","ADGRL3"
"2454","SLC28A3"
"2455","SMURF2"
"2456","PLEKHA2"
"2457","PLEKHA1"
"2458","NMUR1"
"2459","TRPV4"
"2460","CDHR5"
"2461","ATP6V0A4"
"2462","LY9"
"2463","RHOF"
"2464","PARVG"
"2465","PARVB"
"2466","CLTRN"
"2467","VEZT"
"2468","CDH20"
"2469","LPAR2"
"2470","LRRC4"
"2471","ADGRL4"
"2472","LGR6"
"2473","RXFP1"
"2474","OTOF"
"2475","NOD2"
"2476","SLC24A3"
"2477","CRLF2"
"2478","GPR35"
"2479","GDPD2"
"2480","SMURF1"
"2481","ANO8"
"2482","TRPM3"
"2483","SYTL2"
"2484","MAGEE1"
"2485","LRRC4C"
"2486","PLXNA4"
"2487","EPB41L5"
"2488","PGAP6"
"2489","GP6"
"2490","CELSR2"
"2491","TRPC7"
"2492","PTPRH"
"2493","RANGRF"
"2494","MYO10"
"2495","JPH1"
"2496","CD209"
"2497","ABCB6"
"2498","SLC40A1"
"2499","RAB18"
"2500","NPHS2"
"2501","RAB9B"
"2502","SLC6A20"
"2503","SLC39A2"
"2504","TREM1"
"2505","MMP25"
"2506","CABP2"
"2507","PARD6A"
"2508","ACKR4"
"2509","LTB4R2"
"2510","KCNK9"
"2511","SLCO1B3"
"2512","CD320"
"2513","ADAP2"
"2514","FZD3"
"2515","PCDH12"
"2516","ZDHHC4"
"2517","IL1RAP"
"2518","NOX4"
"2519","KCNJ16"
"2520","RIC8A"
"2521","SLC52A3"
"2522","GPRC5C"
"2523","ANO2"
"2524","TRPV5"
"2525","RTN4"
"2526","CYLD"
"2527","NECTIN3"
"2528","GPR84"
"2529","GPHN"
"2530","ITM2C"
"2531","ZC4H2"
"2532","CD163L1"
"2533","PRMT8"
"2534","DLL4"
"2535","ASAH2"
"2536","ARHGEF4"
"2537","KCNQ5"
"2538","PDGFC"
"2539","SLC17A5"
"2540","DUOX2"
"2541","DUOX1"
"2542","SLC2A9"
"2543","IL17RB"
"2544","CDC42SE2"
"2545","INPP5E"
"2546","CDC42SE1"
"2547","TMPRSS4"
"2548","ARHGAP35"
"2549","KCNIP2"
"2550","CYSLTR2"
"2551","SLC7A10"
"2552","LANCL2"
"2553","SLC22A11"
"2554","HOMER2"
"2555","SLC6A13"
"2556","TENM2"
"2557","LRRC4B"
"2558","ATP8A2"
"2559","SEMA4G"
"2560","GJB4"
"2561","SLC39A9"
"2562","LMBRD1"
"2563","LIN7C"
"2564","TMEM100"
"2565","EXOC1"
"2566","TMEM30A"
"2567","PARVA"
"2568","AIG1"
"2569","ANO10"
"2570","SLC52A1"
"2571","PAG1"
"2572","RHBDL2"
"2573","CMTM6"
"2574","SMPD4"
"2575","CLEC5A"
"2576","SLC39A1"
"2577","SCN3A"
"2578","SMPD3"
"2579","SLC2A8"
"2580","SLC5A4"
"2581","SNTG2"
"2582","SPHK1"
"2583","SLCO1C1"
"2584","KCNK4"
"2585","PSD3"
"2586","GPR83"
"2587","CELSR1"
"2588","CELSR3"
"2589","FAT2"
"2590","TAS2R16"
"2591","TAS2R4"
"2592","CALY"
"2593","PLA2G3"
"2594","PSENEN"
"2595","FMN2"
"2596","NLGN3"
"2597","CLIC5"
"2598","FAM120A"
"2599","TREM2"
"2600","GDE1"
"2601","GPRC5D"
"2602","GPRC5B"
"2603","KCNIP1"
"2604","MYOF"
"2605","IL1RAPL1"
"2606","EHD3"
"2607","EHD2"
"2608","CD274"
"2609","TRPM5"
"2610","FLRT3"
"2611","FLRT1"
"2612","CABP1"
"2613","CRIM1"
"2614","KCND2"
"2615","ADAM22"
"2616","FRRS1L"
"2617","VAPA"
"2618","MARK1"
"2619","PKD2L1"
"2620","MARCHF2"
"2621","NTM"
"2622","DLGAP2"
"2623","MDFIC"
"2624","TMEM63C"
"2625","HCN3"
"2626","PLCE1"
"2627","CNTN3"
"2628","ATP10D"
"2629","RCC2"
"2630","TENM3"
"2631","C5AR2"
"2632","IGSF9"
"2633","SLC17A7"
"2634","SLC17A6"
"2635","GNG13"
"2636","EPS15L1"
