"","surface_protein_gene"
"318","NCR1"
"319","NEURL1"
"320","SLC22A5"
"321","PDE9A"
"322","BEST1"
"323","TRPM2"
"324","STK17B"
"325","AQP8"
"326","CNTN5"
"327","STK10"
"328","BAIAP3"
"329","PLEKHG5"
"330","DDN"
"331","NFASC"
"332","FCHSD2"
"333","SORBS2"
"334","TMEM63A"
"335","LRIG2"
"336","ADGRL1"
"337","ABCA8"
"338","CDK14"
"339","SLCO2B1"
"340","AP2A2"
"341","CLSTN1"
"342","OR2A4"
"343","TJP3"
"344","DIRAS1"
"345","KCNK2"
"346","S1PR2"
"347","CACNA1H"
"348","VAMP5"
"349","UNC5C"
"350","CSPG5"
"351","PCDH8"
"352","STBD1"
"353","ABCC6"
"354","IL18RAP"
"355","KCNH1"
"356","HTR3B"
"357","RASGRP1"
"358","LYPD3"
"359","EPM2A"
"360","ABCB11"
"361","GJB5"
"362","SVIL"
"363","SLC34A2"
"364","GJB6"
"365","FMNL1"
"366","CLDN7"
"367","ABCA1"
"368","CLDN9"
"369","VNN1"
"370","VNN2"
"371","CLDN14"
"372","ADCY5"
"373","RAB3D"
"374","SNAP29"
"375","CRTAM"
"376","CPNE6"
"377","SEMA4F"
"378","AP2A1"
"379","RIGI"
"380","CLDN1"
"381","TSPAN15"
"382","TSPAN12"
"383","MPIG6B"
"384","LY6G6C"
"385","LY6G6D"
"386","WDPCP"
"387","DLGAP3"
"388","SLC16A8"
"389","NCR2"
"390","CD160"
"391","S1PR4"
"392","RECK"
"393","FAM107A"
"394","GOT2"
"395","EGFR"
"396","CA2"
"397","NRAS"
"398","HRAS"
"399","KRAS"
"400","LDLR"
"401","TGFA"
"402","TNF"
"403","IGKV1D-33"
"404","IGKV1-33"
"405","IGKV1-39"
"406","IGKV1-5"
"407","IGKV1D-12"
"408","IGKV2D-28"
"409","IGKV3-20"
"410","IGLV1-44"
"411","IGLV1-47"
"412","IGLV1-51"
"413","IGLV2-14"
"414","IGLV2-23"
"415","IGLV2-11"
"416","IGLV2-8"
"417","IGLV6-57"
"418","CD4"
"419","CD8A"
"420","IGHV1-69"
"421","IGHV1-46"
"422","IGHV3-11"
"423","IGHV3-48"
"424","IGHV3-23"
"425","IGHV3-13"
"426","IGHV3-53"
"427","IGHV3-30"
"428","IGHV3-33"
"429","IGHV3-7"
"430","IGHV3-9"
"431","IGHV2-70"
"432","IGHV2-5"
"433","IGHV4-39"
"434","IGHV4-59"
"435","PIGR"
"436","IGKC"
"437","TRAC"
"438","TRBC1"
"439","IGHE"
"440","IGHG1"
"441","IGHG2"
"442","IGHG3"
"443","IGHG4"
"444","IGHM"
"445","IGHA1"
"446","IGHA2"
"447","IGHD"
"448","HLA-B"
"449","HLA-H"
"450","HLA-DRA"
"451","HLA-DQA2"
"452","HLA-DQA1"
"453","HLA-DRB1"
"454","HLA-DQB1"
"455","MBP"
"456","CHRNA1"
"457","GYPA"
"458","SLC4A1"
"459","AMBP"
"460","TFRC"
"461","ESR1"
"462","OPN1SW"
"463","OPN1MW"
"464","RAF1"
"465","ANXA1"
"466","PRNP"
"467","MAS1"
"468","THY1"
"469","CD74"
"470","CD3D"
"471","KRT1"
"472","HLA-A"
"473","HLA-DPB1"
"474","ERBB2"
"475","NTRK1"
"476","CAPNS1"
"477","CYBB"
"478","GNAI2"
"479","SLC4A2"
"480","GYPC"
"481","ATP1A1"
"482","ATP1B1"
"483","ITGB3"
"484","ITGB2"
"485","S100A8"
"486","PRKCG"
"487","ALPP"
"488","HLA-DQB2"
"489","ITGB1"
