"","x"
"1","B cell"
"2","CD34- Pre-B cell"
"3","CD34+ Pro-B cell"
"4","CD4+ T cell"
"5","CD8+ T cell"
"6","CMP"
"7","Dendritic cell"
"8","Erythroblast"
"9","gamma-delta T cell"
"10","GMP"
"11","Macrophage"
"12","Monocyte"
"13","Myelocyte"
"14","Neutrophil"
"15","NK cell"
"16","Platelets"
"17","Pro-Myelocyte"
